"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/acc","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/acc__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/acc__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/acc","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/acc__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/acc__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/acc","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/acc__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/acc__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/acc","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/acc__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/acc__MAX","exp_arch_001_resnet50 - train/acc","exp_arch_001_resnet50 - train/acc__MIN","exp_arch_001_resnet50 - train/acc__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/acc","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/acc__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/acc__MAX","exp_arch_009_efficientnet_b0_sapbert256 - train/acc","exp_arch_009_efficientnet_b0_sapbert256 - train/acc__MIN","exp_arch_009_efficientnet_b0_sapbert256 - train/acc__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/acc","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/acc__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/acc__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/acc","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/acc__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/acc__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - train/acc","exp_arch_008_efficientnet_b0_pubmedbert256 - train/acc__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - train/acc__MAX"
"0","5.6479873971193415","5.6479873971193415","5.6479873971193415","50.61969521604938","50.61969521604938","50.61969521604938","4.62962962962963","4.62962962962963","4.62962962962963","16.356417181069958","16.356417181069958","16.356417181069958","59.103330761316876","59.103330761316876","59.103330761316876","16.356417181069958","16.356417181069958","16.356417181069958","65.32118055555556","65.32118055555556","65.32118055555556","31.231513631687243","31.231513631687243","31.231513631687243","55.22038966049383","55.22038966049383","55.22038966049383","59.1869212962963","59.1869212962963","59.1869212962963"
"4","12.38425925925926","12.38425925925926","12.38425925925926","57.912165637860085","57.912165637860085","57.912165637860085","13.116480195473251","13.116480195473251","13.116480195473251","29.525945216049383","29.525945216049383","29.525945216049383","68.51530349794238","68.51530349794238","68.51530349794238","29.479327417695472","29.479327417695472","29.479327417695472","73.95190329218107","73.95190329218107","73.95190329218107","33.99803883744856","33.99803883744856","33.99803883744856","62.30629501028807","62.30629501028807","62.30629501028807","68.27658822016461","68.27658822016461","68.27658822016461"
"8","14.994052211934155","14.994052211934155","14.994052211934155","60.78960905349794","60.78960905349794","60.78960905349794","17.378793724279834","17.378793724279834","17.378793724279834","33.638760288065846","33.638760288065846","33.638760288065846","71.12268518518519","71.12268518518519","71.12268518518519","33.45068158436214","33.45068158436214","33.45068158436214","76.35834619341564","76.35834619341564","76.35834619341564","34.68203446502058","34.68203446502058","34.68203446502058","63.872010030864196","63.872010030864196","63.872010030864196","70.84860468106996","70.84860468106996","70.84860468106996"
"12","17.04443158436214","17.04443158436214","17.04443158436214","62.90428883744856","62.90428883744856","62.90428883744856","19.83346193415638","19.83346193415638","19.83346193415638","35.959201388888886","35.959201388888886","35.959201388888886","73.33622685185185","73.33622685185185","73.33622685185185","35.51311728395062","35.51311728395062","35.51311728395062","78.12901877572017","78.12901877572017","78.12901877572017","36.86664094650206","36.86664094650206","36.86664094650206","65.41602366255144","65.41602366255144","65.41602366255144","73.00668724279835","73.00668724279835","73.00668724279835"
"16","18.76044881687243","18.76044881687243","18.76044881687243","64.29880401234568","64.29880401234568","64.29880401234568","21.69415509259259","21.69415509259259","21.69415509259259","37.92599022633745","37.92599022633745","37.92599022633745","75.48144933127573","75.48144933127573","75.48144933127573","37.60448816872428","37.60448816872428","37.60448816872428","79.64007844650206","79.64007844650206","79.64007844650206","39.7095228909465","39.7095228909465","39.7095228909465","66.70122813786008","66.70122813786008","66.70122813786008","74.75887345679013","74.75887345679013","74.75887345679013"
"20","20.035204475308642","20.035204475308642","20.035204475308642","65.71984310699588","65.71984310699588","65.71984310699588","23.224504886831276","23.224504886831276","23.224504886831276","39.404899691358025","39.404899691358025","39.404899691358025","77.1604938271605","77.1604938271605","77.1604938271605","38.89692644032922","38.89692644032922","38.89692644032922","81.08121141975309","81.08121141975309","81.08121141975309","41.6674704218107","41.6674704218107","41.6674704218107","67.70913708847736","67.70913708847736","67.70913708847736","76.3720100308642","76.3720100308642","76.3720100308642"
"24","21.586451903292183","21.586451903292183","21.586451903292183","66.89975565843622","66.89975565843622","66.89975565843622","24.601337448559672","24.601337448559672","24.601337448559672","40.719039351851855","40.719039351851855","40.719039351851855","78.80578060699588","78.80578060699588","78.80578060699588","40.07121270576132","40.07121270576132","40.07121270576132","82.1019804526749","82.1019804526749","82.1019804526749","43.31918724279836","43.31918724279836","43.31918724279836","68.38107638888889","68.38107638888889","68.38107638888889","77.62184927983539","77.62184927983539","77.62184927983539"
"28","22.891750257201647","22.891750257201647","22.891750257201647","67.95267489711934","67.95267489711934","67.95267489711934","26.042470421810698","26.042470421810698","26.042470421810698","42.023533950617285","42.023533950617285","42.023533950617285","80.4245434670782","80.4245434670782","80.4245434670782","41.140207047325106","41.140207047325106","41.140207047325106","83.13078703703704","83.13078703703704","83.13078703703704","44.85194830246913","44.85194830246913","44.85194830246913","69.19528034979425","69.19528034979425","69.19528034979425","78.85400591563786","78.85400591563786","78.85400591563786"
"32","24.27662037037037","24.27662037037037","24.27662037037037","69.08596965020575","69.08596965020575","69.08596965020575","27.086548353909464","27.086548353909464","27.086548353909464","43.32320601851852","43.32320601851852","43.32320601851852","81.8970228909465","81.8970228909465","81.8970228909465","42.17785493827161","42.17785493827161","42.17785493827161","84.06796553497942","84.06796553497942","84.06796553497942","46.20707947530864","46.20707947530864","46.20707947530864","70.03038194444444","70.03038194444444","70.03038194444444","79.97283307613169","79.97283307613169","79.97283307613169"
"36","25.413933899176953","25.413933899176953","25.413933899176953","69.92589377572017","69.92589377572017","69.92589377572017","28.11937371399177","28.11937371399177","28.11937371399177","44.33915252057613","44.33915252057613","44.33915252057613","83.0246913580247","83.0246913580247","83.0246913580247","43.379468878600825","43.379468878600825","43.379468878600825","85.1683063271605","85.1683063271605","85.1683063271605","47.6586612654321","47.6586612654321","47.6586612654321","70.62917952674897","70.62917952674897","70.62917952674897","81.25","81.25","81.25"
"40","26.52633101851852","26.52633101851852","26.52633101851852","","","","","","","","","","","","","44.10284850823045","44.10284850823045","44.10284850823045","","","","","","","","","","","",""
"44","27.82439557613169","27.82439557613169","27.82439557613169","","","","","","","","","","","","","44.921875","44.921875","44.921875","","","","","","","","","","","",""
"48","28.681198559670783","28.681198559670783","28.681198559670783","","","","","","","","","","","","","45.50942001028807","45.50942001028807","45.50942001028807","","","","","","","","","","","",""
"52","29.95675797325103","29.95675797325103","29.95675797325103","","","","","","","","","","","","","46.14117155349794","46.14117155349794","46.14117155349794","","","","","","","","","","","",""
"56","30.816775977366255","30.816775977366255","30.816775977366255","","","","","","","","","","","","","46.90232767489712","46.90232767489712","46.90232767489712","","","","","","","","","","","",""
"60","31.779674639917694","31.779674639917694","31.779674639917694","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","32.662197788065846","32.662197788065846","32.662197788065846","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","33.287519290123456","33.287519290123456","33.287519290123456","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","34.09850823045267","34.09850823045267","34.09850823045267","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","34.895833333333336","34.895833333333336","34.895833333333336","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","35.07667824074074","35.07667824074074","35.07667824074074","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","35.78960905349794","35.78960905349794","35.78960905349794","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","36.08860596707819","36.08860596707819","36.08860596707819","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","36.46074459876543","36.46074459876543","36.46074459876543","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","36.6576646090535","36.6576646090535","36.6576646090535","","","","","","","","","","","","","","","","","","","","","","","","","","",""
